id,scene_id,type,speaker,text,visual_prompt,audio_prompt,clip_score,identity_consistency,face_identity_arcface,wer,cer,recognized_text,word_count,audio_duration,sync_score,token_precision,token_recall,token_f1,visual_precision,visual_recall,visual_f1
SC_001_01,SC_001,narration,Narrator,"The rain drummed a relentless rhythm against the fogged windows of The Rusty Anchor, a small diner that smelled of burnt coffee and old vinyl","High quality color cinematic shot of Rain drumming against windows, Rusty Anchor, small diner, burnt coffee, old vinyl, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=ominous, intensity=0.8",22.21875,0.0,0.0,0.0,0.0,"The rain drummed a relentless rhythm against the foggy windows of the rusty anchor, a small diner that smelled of burnt coffee and old vinyl.",25,9.755375,78.043,0.96,0.96,0.96,0.4583,0.6875,0.55
SC_002_01,SC_002,narration,Narrator,"Inside, three people sat at the corner booth, the air between them thick with unspoken tension","High quality color cinematic shot of Three people sitting at corner booth, air thick with tension, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=ominous, intensity=0.8",30.25,0.0,0.0,0.0,0.0,"Inside, three people sat at the corner, both the air between them, thick with unspoken tension.",16,6.03,75.375,0.9375,0.9375,0.9375,0.35,0.6364,0.4516
SC_003_01,SC_003,narration,Narrator,"Silas took a slow sip of his black coffee, his gaze fixed on the briefcase","High quality color cinematic shot of Silas sipping black coffee, gaze fixed on briefcase, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=ominous, intensity=0.7",28.484375,0.0,0.0,0.0,0.0,"Silas took a slow sip of his black coffee, his gaze fixed on the briefcase.",15,5.34,71.2,1.0,1.0,1.0,0.3158,0.6667,0.4286
SC_003_02,SC_003,dialogue,Silas,"You're late, Julian. In this business, late usually means followed.","High quality cinematic close-up of Silas speaking, mouth open mid-sentence, visible teeth and lips moving, annoyance expression,blurry background of a dimly lit noir setting with dimly lit lights","Silas, tone=annoyance, intensity=0.6",22.359375,88.75,0.2794,0.09090909090909091,0.0625,"your late Julian. In this business, late usually means followed.",10,5.18,77.22007722007721,0.9,0.8182,0.8571,0.0,0.0,0.0
SC_004_01,SC_004,narration,Narrator,"Julian swallowed hard, his Adam's apple bobbing","High quality color cinematic shot of Julian swallowing hard, Adam's apple bobbing, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=neutral, intensity=0.5",22.0625,0.0,0.0,0.0,0.0,"Julian swallowed her, his Adam's apple bobbing.",7,3.7992916666666665,92.12243510303456,0.875,0.875,0.875,0.2778,0.8333,0.4167
SC_004_02,SC_004,dialogue,Julian,"I took three different subways and walked through a department store. I'm clean, Silas. I swear.","High quality cinematic close-up of Julian speaking, mouth open mid-sentence, visible teeth and lips moving, neutral expression,blurry background of a dimly lit noir setting with dimly lit lights","Julian, tone=neutral, intensity=0.8",21.734375,82.9375,0.3162,0.0,0.0,"I took three different subways and walked through. A department store. I'm clean, silas. I swear.",16,7.64,83.76963350785341,1.0,1.0,1.0,0.0,0.0,0.0
SC_005_01,SC_005,narration,Narrator,"Lena rolled her eyes, her fingers dancing across the screen of a tablet she had hidden under a napkin","High quality color cinematic shot of Lena rolling eyes, fingers tapping tablet screen, tablet hidden under napkin, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=neutral, intensity=0.7",18.859375,0.0,0.0,0.05263157894736842,0.01,"Lena rolled her eyes, her fingers dancing across the screen of a tablet. She had hidden under an napkin.",19,7.178375,75.56184210526315,0.9474,0.9474,0.9474,0.3636,0.7273,0.4848
SC_005_02,SC_005,dialogue,Lena,"He's mostly clean. You did trigger a geo-fence near the 4th Street station, but I scrambled the signal. You're welcome.","High quality cinematic close-up of Lena speaking, mouth open mid-sentence, visible teeth and lips moving, anxious expression,blurry background of a dimly lit noir setting with dimly lit lights","Lena, tone=anxious, intensity=0.7",22.484375,83.625,0.2397,0.0,0.0,"He's mostly clean. You did trigger a geofence near the fourth street station, but I scrambled the signal. You're welcome.",20,7.79,97.375,1.0,1.0,1.0,0.0,0.0,0.0
SC_006_01,SC_006,dialogue,Julian,See?,"High quality cinematic close-up of Julian speaking, mouth open mid-sentence, visible teeth and lips moving, neutral expression,blurry background of a dimly lit noir setting with dimly lit lights","Julian, tone=neutral, intensity=0.7",21.96875,86.6875,0.4127,0.0,0.0,See?,1,0.46,46.0,1.0,1.0,1.0,0.0,0.0,0.0
SC_006_02,SC_006,narration,Narrator,"Julian hissed, leaning in","High quality color cinematic shot of Julian hissing, leaning in, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=neutral, intensity=0.5",20.640625,0.0,0.0,0.25,0.125,Julian Hist Leningen,4,2.009708333333333,99.5169282441482,0.3333,0.25,0.2857,0.1333,0.6667,0.2222
SC_006_03,SC_006,dialogue,Julian,Lena's got it covered. Can we just do this? I don't like the way the cook is looking at us.,"High quality cinematic close-up of Julian speaking, mouth open mid-sentence, visible teeth and lips moving, anxious expression,blurry background of a dimly lit noir setting with dimly lit lights","Julian, tone=anxious, intensity=0.7",22.546875,84.375,0.37,0.09090909090909091,0.07692307692307693,liners get it covered. Can we just do this? I don't like the way the cook is looking at us.,20,7.439583333333333,92.99479166666667,0.9048,0.8636,0.8837,0.0,0.0,0.0
SC_007_01,SC_007,narration,Narrator,Silas glanced toward the counter,"High quality color cinematic shot of Silas glancing at counter, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=neutral, intensity=0.7",23.125,0.0,0.0,0.0,0.0,Silas glanced toward the counter.,5,2.66,93.98496240601504,1.0,1.0,1.0,0.1333,0.5,0.2105
SC_007_02,SC_007,narration,Narrator,where a man in a greasy apron was flipping burgers with more aggression than necessary,"High quality color cinematic shot of Greasy apron man flipping burgers, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=neutral, intensity=0.5",29.5,0.0,0.0,0.0,0.0,where a man in a greasy apron was flipping burgers with more aggression than necessary.,15,6.070458333333334,80.93944444444445,1.0,1.0,1.0,0.2941,0.625,0.4
SC_007_03,SC_007,dialogue,Silas,The cook is looking at you because you're sweating enough to fill a bucket. Lean back and breathe.,"High quality cinematic close-up of Silas speaking, mouth open mid-sentence, visible teeth and lips moving, disgust expression,blurry background of a dimly lit noir setting with dimly lit lights","Silas, tone=disgust, intensity=0.6",22.578125,82.75,0.3036,0.0,0.0,The cook is looking at you because you are sweating enough to fill a bucket. Lean back and breathe.,18,6.62,97.3529411764706,1.0,1.0,1.0,0.0,0.0,0.0
SC_008_01,SC_008,dialogue,Julian,I can't breathe!,"High quality cinematic close-up of Julian speaking, mouth open mid-sentence, visible teeth and lips moving, sad expression,blurry background of a dimly lit noir setting with dimly lit lights","Julian, tone=sad, intensity=0.8",21.296875,76.9375,0.3597,0.0,0.0,I can't breathe.,3,1.27,94.48818897637796,1.0,1.0,1.0,0.0,0.0,0.0
SC_008_02,SC_008,narration,Narrator,Julian whispered,"High quality color cinematic shot of Julian whispering, blurry background of a dimly lit noir setting with dimly lit lights","Narrator, tone=neutral, intensity=0.8",25.46875,0.0,0.0,0.0,0.0,Julian Whisperd.,2,1.28,78.125,0.5,0.5,0.5,0.0714,0.5,0.125
SC_008_03,SC_008,dialogue,Julian,Do you have any idea what's in here? If the Board finds out I took these files,"High quality cinematic close-up of Julian speaking, mouth open mid-sentence, visible teeth and lips moving, curious expression,blurry background of a dimly lit noir setting with dimly lit lights","Julian, tone=curious, intensity=0.8",23.25,81.25,0.3121,0.0,0.0,Do you have any idea what's in here? If the board finds out I took these files.,17,5.11,75.14705882352942,1.0,1.0,1.0,0.0,0.0,0.0
